id,cuisine,ingredients
31634,brazilian,"['ice cubes', 'club soda', 'white rum', 'lime', 'turbinado']"
32304,mexican,"['cooked chicken', 'enchilada sauce', 'sliced green onions', 'picante sauce', 'green pepper', 'corn tortillas', 'canned black beans', 'shredded lettuce', 'sour cream', 'shredded cheddar cheese', 'garlic cloves', 'canola oil']"
36341,indian,"['salmon fillets', 'shallots', 'cumin seed', 'fresh cilantro', 'salt', 'curry powder', 'vegetable oil', 'serrano chile', 'fresh ginger', 'sauce']"
29369,mexican,"['tomatoes', 'chicken breast halves', 'chopped cilantro fresh', 'white vinegar', 'jalapeno chilies', 'salt', 'black pepper', 'vegetable oil', 'avocado', 'lettuce leaves', 'chopped onion']"
27564,chinese,"['eggs', 'mandarin oranges', 'water', 'orange liqueur', 'yellow cake mix', 'frosting', 'vegetable oil', 'white sugar']"
18515,french,"['sugar', 'salt', 'fennel bulb', 'water', 'lemon olive oil', 'grapefruit juice']"
3335,southern_us,"['sugar', 'all-purpose flour', 'vegetable oil', 'white cornmeal', 'baking powder', 'onions', 'bacon drippings', 'buttermilk']"
4499,southern_us,"['butter', 'crab boil', 'garlic', 'old bay seasoning', 'cream cheese', 'crawfish', 'salt']"
4906,southern_us,"['mayonaise', 'white sugar', 'ground black pepper', 'salt', 'white vinegar', 'lemon juice']"
5767,japanese,"['sirloin', 'mirin', 'yellow onion', 'low sodium soy sauce', 'water', 'corn oil', 'sugar', 'green onions', 'glass noodles', 'sake', 'shiitake', 'napa cabbage']"
30748,southern_us,"['large eggs', 'whipping cream', 'chicken broth', 'ground red pepper', 'extra sharp cheddar cheese', 'quickcooking grits', 'hot sauce', 'ground black pepper', 'worcestershire sauce', 'monterey jack']"
35930,italian,"['fresh basil', 'bay leaves', 'crushed red pepper', 'mussels', 'olive oil', 'basil', 'garlic cloves', 'black pepper', 'dry white wine', 'salt', 'tomatoes', 'finely chopped onion', 'linguine', 'flat leaf parsley']"
44902,southern_us,"['sugar', 'large eggs', 'all-purpose flour', 'baking soda', 'buttermilk', 'honey', 'corn oil', 'yellow corn meal', 'unsalted butter', 'salt']"
31119,italian,"['lemon', 'pesto', 'salmon fillets', 'white wine']"
3535,jamaican,"['bread crumbs', 'unsalted butter', 'onion powder', 'curry', 'low sodium beef broth', 'pickapeppa sauce', 'curry powder', 'bay leaves', 'garlic', 'cayenne pepper', 'cold water', 'pepper', 'large eggs', 'extra-virgin olive oil', 'yellow onion', 'allspice', 'white vinegar', 'kosher salt', 'fresh thyme', 'worcestershire sauce', 'all-purpose flour', 'ground beef']"
47028,japanese,"['melted butter', 'matcha green tea powder', 'white sugar', 'milk', 'all-purpose flour', 'eggs', 'salt', 'baking powder', 'chopped walnuts']"
38112,indian,"['coarse salt', 'fenugreek', 'urad dal', 'potatoes', 'white rice', 'vegetable oil']"
2646,italian,"['pizza crust', 'plum tomatoes', 'pesto', 'part-skim mozzarella cheese']"
5206,irish,"['cooking spray', 'salt', 'black pepper', 'yukon gold potatoes', 'low-fat sour cream', 'leeks', 'olive oil', '1% low-fat milk']"
38233,thai,"['sugar', 'chicken thighs', 'cooking oil', 'fish sauce', 'garlic', 'black pepper']"
39267,thai,"['lemongrass', 'large garlic cloves', 'rice', 'unsweetened coconut milk', 'fresh ginger', 'peanut sauce', 'spareribs', 'sesame oil', 'tamari soy sauce', 'golden brown sugar', 'dry sherry', 'boiling water']"
11913,indian,"['chicken legs', 'chile pepper', 'ghee', 'tomato paste', 'fresh ginger root', 'garlic', 'chopped cilantro fresh', 'water', 'vegetable oil', 'onions', 'tomatoes', 'garam masala', 'cumin seed', 'ground turmeric']"
20591,jamaican,"['stock', 'curry powder', 'cracked black pepper', 'minced beef', 'onions', 'plain flour', 'bread crumbs', 'butter', 'garlic', 'celery', 'cold water', 'tumeric', 'dried thyme', 'ginger', 'oil', 'tomatoes', 'water', 'paprika', 'salt', 'chillies']"
70,italian,"['crushed tomatoes', 'garlic', 'fresh rosemary', 'ground black pepper', 'onions', 'olive oil', 'boneless pork loin', 'kosher salt', 'pappardelle']"
43928,thai,"['extra firm tofu', 'coconut milk', 'fresh basil', 'red curry paste', 'eggplant', 'red bell pepper', 'vegetable oil', 'onions']"
8530,korean,"['jasmine rice', 'garlic', 'scallions', 'sugar', 'shiitake', 'Gochujang base', 'beansprouts', 'top round steak', 'sesame seeds', 'rice vinegar', 'carrots', 'soy sauce', 'sesame oil', 'Taiwanese bok choy']"
275,french,"['vanilla', 'milk', 'large egg yolks', 'sugar', 'corn starch']"
43769,french,"['orange juice concentrate', 'pumpkin purée', 'marshmallow creme', 'toasted pecans', 'maple syrup', 'ground cinnamon', 'gingersnap', 'ground nutmeg', 'cream cheese']"
49111,southern_us,"['black pepper', 'white sugar', 'white vinegar', 'salt', 'bacon', 'brown sugar', 'green beans']"
11886,spanish,"['large eggs', 'serrano ham', 'manchego cheese', 'butter', 'dijon mustard', 'sourdough', 'membrillo']"
45839,indian,"['burger buns', 'fresh cilantro', 'chili powder', 'garlic cloves', 'panko breadcrumbs', 'chickpea flour', 'pepper', 'Sriracha', 'chickpeas', 'carrots', 'ground flaxseed', 'soy sauce', 'olive oil', 'salt', 'lemon juice', 'greens', 'spinach', 'curry powder', 'tahini', 'scallions', 'onions', 'ground cumin']"
699,moroccan,"['ground cloves', 'whole nutmegs', 'ground ginger', 'ground coriander', 'ground cinnamon', 'ground cardamom', 'ground black pepper', 'ground cumin']"
24568,italian,"['tomatoes', 'red pepper', 'olive oil', 'Italian bread', 'balsamic vinegar', 'onions', 'fresh basil', 'garlic']"
8820,italian,"['sausage casings', 'ground black pepper', 'garlic', 'honey', 'grated parmesan cheese', 'shredded mozzarella cheese', 'kosher salt', 'roasted red peppers', 'penne pasta', 'olive oil', 'crushed red pepper flakes']"
16582,moroccan,"['tumeric', 'olive oil', 'lemon', 'saffron', 'tomato paste', 'pepper', 'flour', 'chickpeas', 'chicken stock', 'warm water', 'fresh ginger', 'salt', 'tomatoes', 'fresh cilantro', 'shallots', 'fresh parsley']"
9058,moroccan,"['ground pepper', 'paprika', 'ground cardamom', 'chopped cilantro fresh', 'preserved lemon', 'harissa', 'salt', 'couscous', 'tomato paste', 'cayenne', 'garlic', 'fat skimmed chicken broth', 'ground turmeric', 'pitted kalamata olives', 'diced tomatoes', 'fat', 'onions']"
4715,vietnamese,"['sweetened condensed milk', 'ice', 'espresso']"
29061,japanese,"['top round steak', 'vegetable oil', 'shiitake', 'soy sauce', 'fresh asparagus', 'green onions']"
2107,mexican,"['avocado', 'chopped cilantro fresh', 'jalapeno chilies', 'finely chopped onion', 'plum tomatoes', 'green chilies']"
22825,cajun_creole,"['pecans', 'golden brown sugar', 'crumbled blue cheese', 'garlic cloves', 'chuck', 'hamburger buns', 'hot pepper sauce', 'creole seasoning', 'onions', 'mayonaise', 'ground black pepper', 'salt', 'okra pods', 'andouille sausage', 'olive oil', 'watercress', 'fresh lemon juice']"
13758,southern_us,"['sugar', 'vanilla', 'eggs', 'self rising flour', 'confectioners sugar', 'milk', 'softened butter', 'food colouring', 'butter']"
6886,french,"['Madeira', 'foie gras', 'demi-glace', 'sherry vinegar', 'whipping cream', 'white bread', 'Fuyu persimmons', 'salt', 'egg bread', 'watercress']"
14874,indian,"['fenugreek leaves', 'olive oil', 'garlic', 'black mustard seeds', 'ground cumin', 'amchur', 'lime wedges', 'scallions', 'coriander', 'sugar', 'fingerling potatoes', 'green chilies', 'chopped cilantro', 'tumeric', 'fresh ginger root', 'salt', 'ramps']"
43399,indian,"['black peppercorns', 'cinnamon sticks', 'cardamom pods', 'cumin seed', 'coriander seeds']"
38254,italian,"['spinach', 'asiago', 'whole wheat pasta', 'olive oil', 'sweet onion', 'garlic', 'grape tomatoes', 'mushrooms']"
41596,italian,"['chestnuts', 'granulated sugar', 'whole milk ricotta cheese', 'coffee ice cream', 'large eggs', 'mascarpone', 'rum', 'powdered sugar', 'semisweet chocolate', 'chestnut flour']"
33989,indian,"['baby spinach leaves', 'naan', 'unsalted butter', 'chopped garlic', 'water', 'large shrimp', 'tomatoes', 'salt']"
17004,korean,"['water', 'barley']"
4969,spanish,"['cooked ham', 'red bell pepper', 'seasoning', 'potatoes', 'olive oil', 'onions', 'eggs', 'bacon']"
31831,italian,"['salt', 'starchy potatoes', 'grated nutmeg', 'flour']"
46648,southern_us,"['ground black pepper', 'all-purpose flour', 'milk', 'buttermilk', 'sirloin tip roast', 'coarse salt', 'steak', 'vegetable oil', 'cayenne pepper']"
36888,southern_us,"['granulated sugar', 'all-purpose flour', 'vegetable shortening', 'baking powder', 'milk', 'salt']"
34471,greek,"['ground pork', 'finely chopped fresh parsley', 'onions', 'salt', 'vinegar', 'caul fat']"
25164,mexican,"['ground cinnamon', 'whole milk', 'golden brown sugar', 'heavy whipping cream', 'kahlúa', 'corn starch', 'instant espresso powder']"
39600,mexican,"['boneless chicken skinless thigh', 'lime', 'epazote', 'bay leaf', 'lime juice', 'radishes', 'salt', 'oregano', 'white onion', 'hominy', 'garlic', 'chopped cilantro', 'avocado', 'fresh cilantro', 'tomatillos', 'pepitas', 'canola oil']"
46357,southern_us,"['catfish fillets', 'ground black pepper', 'salt', 'dried thyme', 'ground red pepper', 'peanut oil', 'yellow corn meal', 'large eggs', 'all-purpose flour', 'garlic powder', 'buttermilk']"
46905,indian,"['olive oil', 'sea salt', 'coconut milk', 'water', 'garam masala', 'ground coriander', 'basmati rice', 'cauliflower', 'fresh ginger', 'green chilies', 'onions', 'fresh cilantro', 'potatoes', 'scallions', 'cumin']"
8753,italian,"['olive oil', 'olives', 'salt', 'blood orange', 'freshly ground pepper', 'fennel bulb']"
37337,italian,"['balsamic vinegar', 'low salt chicken broth', 'dijon mustard', 'corn starch', 'dried basil', 'garlic cloves', 'white wine vinegar']"
17636,italian,"['tomato sauce', 'shredded carrots', 'spinach', 'part-skim mozzarella cheese', 'italian seasoning', 'english muffins, split and toasted', 'chopped onion', 'vegetable oil cooking spray', 'chopped green bell pepper']"
8997,japanese,"['prawns', 'rice flour', 'seasoning salt', 'salt', 'vegetable oil', 'club soda', 'garlic powder', 'cayenne pepper']"
28851,italian,"['cheddar cheese', 'lasagna noodles', 'pepper', 'ranch dressing', 'mozzarella cheese', 'cooked chicken', 'evaporated milk']"
4635,greek,"['minced garlic', 'dried oregano', 'red wine vinegar', 'olive oil', 'boneless chop pork', 'lemon juice']"
7782,korean,"['cooking spray', 'garlic cloves', 'sliced green onions', 'chile paste', 'salt', 'fresh lime juice', 'sugar', 'flank steak', 'corn tortillas', 'lower sodium soy sauce', 'dark sesame oil', 'cabbage']"
8031,indian,"['minced garlic', 'raisins', 'onions', 'olive oil', 'pearl barley', 'curry powder', 'salt', 'slivered almonds', 'ground black pepper', 'flat leaf parsley']"
49434,mexican,"['chocolate bars', 'marshmallows', 'cinnamon graham crackers']"
31318,southern_us,"['milk', 'grated parmesan cheese', 'chopped celery', 'mustard powder', 'cod', 'minced onion', 'butter', 'all-purpose flour', 'ground black pepper', 'potatoes', 'salt', 'red bell pepper', 'water', 'chopped green bell pepper', 'old bay seasoning', 'dry bread crumbs']"
31027,irish,"['vegetable oil cooking spray', 'golden raisins', 'salt', 'margarine', 'eggs', 'mace', 'brewed tea', 'all-purpose flour', 'candied orange peel', 'ground nutmeg', 'raisins', 'grated lemon zest', 'ground cinnamon', 'dried currants', 'baking powder', 'rum extract', 'dark brown sugar']"
47095,korean,"['sugar', 'water', 'noodles', 'pork', 'corn starch', 'baby bok choy', 'black bean sauce', 'red potato', 'kosher salt', 'onions']"
4574,chinese,"['chinese rice wine', 'shiitake', 'sesame oil', 'oil', 'soy sauce', 'egg roll wrappers', 'garlic', 'corn starch', 'sugar', 'ground black pepper', 'ground pork', 'carrots', 'fresh ginger', 'cooking oil', 'salt', 'cabbage']"
19757,mexican,"['black beans', 'quinoa', 'garlic', 'lime', 'diced tomatoes', 'chopped cilantro fresh', 'kosher salt', 'jalapeno chilies', 'frozen corn', 'olive oil', 'vegetable broth']"
35570,southern_us,"['salt', 'butter', 'red bell pepper', 'black pepper', 'okra pods', 'yellow bell pepper', 'chopped cilantro fresh']"
44812,chinese,"['water', 'salt', 'garlic cloves', 'cold water', 'orange', 'sauce', 'onions', 'soy sauce', 'star anise', 'chinese five-spice powder', 'brown sugar', 'fresh ginger', 'duck']"
27858,moroccan,"['tomato paste', 'unsalted butter', 'dried mint flakes', 'purple onion', 'ground cumin', 'olive oil', 'grated parmesan cheese', 'diced tomatoes', 'penne rigate', 'feta cheese', 'whole milk', 'ras el hanout', 'ground lamb', 'ground cinnamon', 'large eggs', 'large garlic cloves', 'all-purpose flour']"
18624,irish,"['crumbled blue cheese', 'salt', 'large egg whites', 'vegetable oil', 'sugar', 'cooking spray', 'all-purpose flour', 'large eggs', '2% reduced-fat milk']"
9406,chinese,"['sugar', 'napa cabbage leaves', 'garlic', 'chicken leg quarters', 'soy sauce', 'butter', 'rice vinegar', 'red chili peppers', 'sesame oil', 'salt', 'cucumber', 'pepper', 'ginger', 'long-grain rice']"
35132,irish,"['crusty bread', 'salt', 'baby potatoes', 'olive oil', 'fresh parsley', 'smoked streaky bacon', 'sausages', 'chicken stock', 'ground black pepper', 'onions']"
33071,mexican,"['piloncillo', 'ground allspice', 'water', 'hibiscus', 'ground cloves', 'cinnamon sticks', 'ground nutmeg', 'white sugar']"
8321,italian,"['olive oil', 'freshly ground pepper', 'fresh rosemary', 'salt', 'fresh parsley', 'fresh basil', 'fresh oregano', 'crushed red pepper', 'garlic cloves']"
20955,italian,"['cold water', 'sugar', 'butter', 'chocolate morsels', 'cream sweeten whip', 'instant espresso granules', 'whipping cream', 'boiling water', 'kahlúa', 'large eggs', 'chocolate covered coffee beans', 'unflavored gelatin', 'mascarpone', 'pound cake']"
45776,italian,"['pinenuts', 'zucchini', 'baby carrots', 'fresh basil leaves', 'olive oil', 'dry white wine', 'asparagus spears', 'white onion', 'grated parmesan cheese', 'carrots', 'frozen peas', 'arborio rice', 'yellow crookneck squash', 'butter', 'low salt chicken broth']"
6043,jamaican,"['tomato sauce', 'ground black pepper', 'garlic', 'scallions', 'chipotles in adobo', 'avocado', 'dried thyme', 'instant white rice', 'cilantro leaves', 'coconut milk', 'water', 'red beans', 'chopped celery', 'skinless chicken thighs', 'onions', 'lime zest', 'lime juice', 'lime wedges', 'salt', 'carrots']"
336,mexican,"['water', 'condensed cream of mushroom soup', 'condensed cream of chicken soup', 'lean ground beef', 'Mexican cheese blend', 'chunky salsa', 'taco seasoning mix', 'corn tortillas']"
25751,japanese,"['pepper', 'panko breadcrumbs', 'plain flour', 'oil', 'salt', 'eggs', 'steak']"
793,spanish,"['minced garlic', 'chorizo spanish', 'red bell pepper', 'olive oil', 'pineapple juice', 'lime', 'cilantro leaves', 'large shrimp', 'dark rum', 'fresh lemon juice']"
34367,chinese,"['water', 'daikon', 'sugar', 'pork ribs', 'oil', 'soy sauce', 'shallots', 'goji berries', 'chinese rice wine', 'oysters', 'salt']"
7406,mexican,"['shredded cheddar cheese', 'corn tortillas', 'salsa', 'vegetable oil', 'black beans', 'sour cream']"
7473,british,"['demerara sugar', 'egg whites', 'fruit', 'butter', 'dried currants', 'frozen pastry puff sheets', 'mixed spice', 'white sugar']"
7532,indian,"['parsnips', 'garam masala', 'chili oil', 'olive oil', 'brown mustard seeds', 'chopped cilantro fresh', 'sugar', 'cooking spray', 'salt', 'coriander seeds', 'yukon gold potatoes', 'ground cumin']"
5924,thai,"['Sriracha', 'unsalted cashews', 'thai green curry paste', 'light soy sauce', 'kecap manis', 'garlic', 'frozen broad beans', 'basil leaves', 'yellow onion', 'chili flakes', 'cooking oil', 'chicken tenderloin']"
5802,southern_us,"['butter', 'creole style seasoning', 'fresh parsley', 'ground black pepper', 'cayenne pepper', 'shrimp', 'cauliflower', 'paprika', 'condensed cheddar cheese soup', 'whole milk', 'chopped onion', 'sliced mushrooms']"
41078,mexican,"['refried beans', 'grated jack cheese', 'hot sauce', 'sour cream']"
20665,spanish,"['ground cinnamon', 'cornflour', 'milk', 'egg yolks', 'sugar', 'cinnamon sticks']"
39471,french,"['grated parmesan cheese', 'asparagus', 'bacon slices', 'ground black pepper', 'green onions', 'large eggs', 'salt']"
9595,italian,"['fresh leav spinach', 'cheese tortellini', 'fresh basil', 'cherry tomatoes', 'fresh lemon juice', 'capers', 'fresh parmesan cheese', 'navy beans', 'pepper', 'extra-virgin olive oil']"
27869,indian,"['quinoa', 'nonfat milk', 'granny smith apples', 'paprika', 'chicken broth', 'chicken breasts', 'chopped onion', 'curry powder', 'chopped celery']"
44776,british,"['milk', 'salt', 'flour', 'eggs', 'lard']"
17771,spanish,"['tomatoes', 'golden raisins', 'salt', 'olive oil', 'yellow bell pepper', 'olives', 'ground pepper', 'white wine vinegar', 'green bell pepper', 'green onions', 'fresh basil leaves']"
43970,italian,"['pecorino romano cheese', 'fresh fava bean', 'finely chopped onion', 'extra-virgin olive oil', 'plum tomatoes', 'italian sausage', 'large garlic cloves', 'pasta sheets', 'dry white wine', 'crushed red pepper']"
27165,korean,"['fish sauce', 'chicken broth', 'sesame oil', 'green onions', 'eggs']"
11190,indian,"['lime zest', 'sweet potatoes', 'purple onion', 'boiling water', 'spinach leaves', 'ginger', 'low-fat natural yogurt', 'red lentils', 'vegetable stock', 'carrots', 'basmati rice', 'lime', 'Flora Cuisine', 'curry paste']"
21872,mexican,"['kosher salt', 'radishes', 'garlic cloves', 'dried oregano', 'chicken stock', 'ground black pepper', 'bone-in chicken breasts', 'red bell pepper', 'canola oil', 'tomato paste', 'white hominy', 'tortilla chips', 'onions', 'avocado', 'lime', 'cilantro leaves', 'dried chile peppers', 'cabbage']"
29853,mexican,"['granulated sugar', 'large egg whites']"
1154,southern_us,"['frozen whipped topping', 'chocolate instant pudding', 'instant butterscotch pudding mix', 'cream cheese', 'milk', 'butter', 'graham cracker crumbs', 'white sugar']"
9069,french,"['fennel seeds', 'kalamata', 'capers', 'dried oregano', 'great northern beans', 'salt', 'red wine vinegar']"
46975,cajun_creole,"['kosher salt', 'kielbasa', 'red bell pepper', 'celery ribs', 'large garlic cloves', 'long-grain rice', 'fresh parsley', 'olive oil', 'cayenne pepper', 'medium shrimp', 'chicken broth', 'diced tomatoes', 'ham', 'onions']"
4892,indian,"['moong dal', 'cilantro leaves', 'onions', 'tomatoes', 'capsicum', 'lemon juice', 'green mango', 'oil', 'garlic paste', 'salt', 'carrots']"
21467,chinese,"['fresh ginger', 'garlic', 'low sodium soy sauce', 'mirin', 'toasted sesame oil', 'tofu', 'short-grain rice', 'dried shiitake mushrooms', 'gari', 'green onions']"
20919,italian,"['shredded mozzarella cheese', 'marinara sauce', 'fresh basil leaves', 'penne pasta']"
42013,italian,"['water', 'extra-virgin olive oil', 'carrots', 'hot red pepper flakes', 'Turkish bay leaves', 'dried chickpeas', 'onions', 'celery ribs', 'semolina', 'fine sea salt', 'flat leaf parsley', 'warm water', 'vine ripened tomatoes', 'garlic cloves']"
17821,italian,"['sugar', 'mascarpone', 'bittersweet chocolate', 'fat free yogurt', 'vanilla extract', 'skim milk', 'angel food cake', 'unsweetened cocoa powder', 'kahlúa', 'water', 'instant espresso']"
44138,southern_us,"['water', 'onion powder', 'peanut oil', 'black pepper', 'garlic powder', 'salt', 'eggs', 'organic chicken', 'buttermilk', 'corn starch', 'pepper', 'flour', 'cayenne pepper']"
5980,greek,"['orange', 'anise', 'cinnamon sticks', 'unflavored gelatin', 'zinfandel', 'orange blossom honey', 'sugar', 'lemon', 'calimyrna figs', 'clove', 'honey', 'whipping cream', 'plain whole-milk yogurt']"
41961,japanese,"['ground pepper', 'flour', 'garlic', 'onions', 'fresh ginger', 'mirin', 'daikon', 'corn starch', 'olive oil', 'reduced sodium soy sauce', 'beef stock', 'salt', 'sliced green onions', 'shiitake', 'chuck roast', 'star anise', 'chopped cilantro']"
27008,cajun_creole,"['Corn Flakes Cereal', 'yellow corn meal', 'coleslaw', 'catfish fillets', 'creole seasoning', 'cooking spray']"
31867,italian,"['diced tomatoes', 'sugar', 'garlic salt', 'tomato paste', 'crushed red pepper', 'dried basil', 'dried oregano']"
